SlNo,RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_,GMag,BP-RP,PMemb,Cluster,SimbadName,_RA.icrs,_DE.icrs
126,261.98097457687,-49.67420893686,5949487796217706880,340.5839218762,-8.1852155436,0.9530,-1.878,-5.800,180,17.962269,0.978266,0.1,IC_4651, ,261.98098707172,-49.67418396464
127,261.74460250040,-49.58604278679,5949491747607103616,340.5745765843,-8.0087840100,1.1086,-2.397,-5.422,210,17.350370,1.701525,0.8,IC_4651, ,261.74461841946,-49.58601944207
128,261.95689355873,-49.55864732032,5949494354617471744,340.6734260662,-8.1094012395,1.0984,-2.312,-4.859,188,17.423760,1.007450,0.7,IC_4651, ,261.95690890467,-49.55862639962
129,262.04579872590,-49.67860284809,5949492675319670144,340.6031654918,-8.2228474588,1.0636,-3.319,-4.949,191,17.091450,1.580309,0.3,IC_4651, ,262.04582081011,-49.67858153989
130,262.05303706870,-49.60419437309,5949493362514527744,340.6689205998,-8.1864755567,1.1009,-2.358,-5.080,193,15.853899,1.163979,1.0,IC_4651,Gaia DR2 5949493362514527744,262.05305273458,-49.60417250087
131,261.73251218386,-49.57079728051,5949492327391388928,340.5831680913,-7.9939011841,0.9013,-2.480,-5.143,212,16.657854,1.427721,0.9,IC_4651, ,261.73252864900,-49.57077513704
132,261.87221248054,-49.77671431806,5949485391055157376,340.4583889581,-8.1818195421,1.1536,-2.519,-4.968,192,17.212740,1.660000,0.8,IC_4651, ,261.87222927556,-49.77669292806
133,261.74465744756,-49.64728847157,5949490098339593728,340.5227370620,-8.0421918030,1.0508,-2.137,-4.935,214,14.182033,0.844108,0.8,IC_4651, ,261.74467165774,-49.64726722365
134,260.73807331434,-50.11023467653,5925587711986485120,339.7723080903,-7.7548942357,1.2218,-2.638,-5.193,171,17.582159,1.812838,0.8,IC_4651, ,260.73809102497,-50.11021231778
135,260.67217805774,-50.09912354047,5925587845094340736,339.7579635638,-7.7135699749,1.0695,-2.571,-5.173,192,15.195002,1.048421,1.0,IC_4651,Gaia DR2 5925587845094340736,260.67219531455,-50.09910126783
136,260.72843114126,-50.17113802212,5925587054820263552,339.7177025642,-7.7835322029,1.0765,-2.485,-5.343,189,16.428246,1.390467,0.9,IC_4651, ,260.72844784595,-50.17111501754
